Churn,customer.gender,customer.SeniorCitizen,customer.Partner,customer.Dependents,customer.tenure,account.Contract,account.PaymentMethod,account.Charges.Total,daily_bill
0,1,0,1,1,54.0,Two year,Credit card (automatic),1090.6,0.67
0,1,0,0,0,26.0,One year,Bank transfer (automatic),471.85,0.6
0,0,0,1,1,69.0,Two year,Bank transfer (automatic),1396.9,0.67
0,0,0,0,0,11.0,Month-to-month,Bank transfer (automatic),929.3,2.82
0,1,0,1,1,37.0,One year,Credit card (automatic),3247.55,2.93
0,0,0,1,0,49.0,One year,Bank transfer (automatic),900.9,0.61
0,1,0,1,0,66.0,One year,Bank transfer (automatic),7942.15,4.01
0,0,0,0,0,67.0,One year,Electronic check,1343.4,0.67
0,1,0,1,1,20.0,Two year,Credit card (automatic),825.4,1.38
0,0,0,0,1,43.0,Two year,Electronic check,1070.15,0.83
0,0,0,1,0,55.0,Month-to-month,Bank transfer (automatic),4959.6,3.01
0,0,0,1,0,59.0,Month-to-month,Electronic check,5597.65,3.16
0,0,0,1,1,12.0,Two year,Bank transfer (automatic),224.5,0.62
0,1,0,1,1,27.0,Month-to-month,Bank transfer (automatic),1929.0,2.38
1,1,1,0,0,2.0,Month-to-month,Electronic check,91.1,1.52
0,0,0,0,0,27.0,One year,Mailed check,2078.95,2.57
0,1,0,1,1,25.0,Two year,Credit card (automatic),630.6,0.84
0,1,0,1,1,25.0,One year,Bank transfer (automatic),1611.0,2.15
0,1,0,0,1,29.0,Month-to-month,Mailed check,1242.45,1.43
0,1,0,1,0,72.0,Two year,Bank transfer (automatic),6316.2,2.92
0,0,0,0,0,14.0,One year,Credit card (automatic),727.85,1.73
0,0,0,0,0,35.0,One year,Electronic check,3532.0,3.36
0,1,0,0,0,1.0,Month-to-month,Mailed check,44.3,1.48
0,1,0,0,0,29.0,Month-to-month,Electronic check,2607.6,3.0
0,1,0,0,0,64.0,One year,Electronic check,5567.55,2.9
0,0,0,1,1,39.0,Month-to-month,Credit card (automatic),3767.4,3.22
0,0,1,0,0,40.0,Month-to-month,Electronic check,3673.6,3.06
1,1,0,0,0,40.0,Month-to-month,Credit card (automatic),4036.85,3.36
1,0,1,0,0,11.0,Month-to-month,Electronic check,1120.3,3.39
0,0,0,1,0,6.0,Month-to-month,Electronic check,314.55,1.75
0,1,0,0,0,30.0,Month-to-month,Mailed check,1888.45,2.1
0,1,0,0,0,27.0,Month-to-month,Electronic check,529.8,0.65
0,1,1,1,0,70.0,One year,Electronic check,7308.95,3.48
0,0,0,1,0,57.0,One year,Bank transfer (automatic),6252.7,3.66
0,1,0,1,0,58.0,One year,Credit card (automatic),2878.55,1.65
0,1,0,0,0,16.0,Month-to-month,Bank transfer (automatic),1212.1,2.53
0,0,0,1,0,69.0,Two year,Electronic check,8182.85,3.95
1,1,0,0,0,1.0,Month-to-month,Electronic check,19.85,0.66
1,1,0,0,1,1.0,Month-to-month,Electronic check,99.75,3.32
0,1,1,1,1,32.0,Month-to-month,Mailed check,2861.45,2.98
0,1,0,1,1,16.0,Month-to-month,Bank transfer (automatic),1442.2,3.0
1,1,0,1,0,49.0,One year,Electronic check,4059.35,2.76
0,0,0,1,0,71.0,Two year,Bank transfer (automatic),4145.9,1.95
0,0,0,0,0,33.0,Month-to-month,Electronic check,3645.5,3.68
0,0,0,1,0,10.0,Month-to-month,Bank transfer (automatic),187.75,0.63
1,1,0,1,0,21.0,Month-to-month,Electronic check,2317.1,3.68
1,1,0,1,1,37.0,Month-to-month,Bank transfer (automatic),1448.8,1.31
0,0,1,0,0,26.0,Month-to-month,Credit card (automatic),2193.65,2.81
0,1,0,0,0,71.0,Two year,Credit card (automatic),1355.1,0.64
0,1,0,0,0,50.0,One year,Mailed check,1748.9,1.17
1,0,0,0,0,7.0,Month-to-month,Electronic check,511.25,2.43
0,0,0,1,1,61.0,Two year,Mailed check,5526.75,3.02
1,1,0,0,0,15.0,Month-to-month,Electronic check,1553.95,3.45
0,0,0,0,1,26.0,Month-to-month,Mailed check,1147.0,1.47
0,1,0,1,0,72.0,Month-to-month,Electronic check,6747.35,3.12
0,1,0,1,1,44.0,One year,Bank transfer (automatic),865.05,0.66
0,1,0,0,0,66.0,Month-to-month,Credit card (automatic),5976.9,3.02
1,0,0,0,0,2.0,Month-to-month,Electronic check,181.65,3.03
0,0,1,0,0,44.0,One year,Bank transfer (automatic),3268.05,2.48
1,0,0,0,0,12.0,Month-to-month,Bank transfer (automatic),1052.4,2.92
0,1,1,1,0,69.0,Two year,Electronic check,7634.25,3.69
1,0,0,0,0,1.0,Month-to-month,Mailed check,80.2,2.67
1,0,0,0,0,3.0,Month-to-month,Mailed check,63.75,0.71
0,0,0,1,0,2.0,Month-to-month,Electronic check,190.5,3.18
0,0,1,0,0,27.0,Month-to-month,Bank transfer (automatic),2401.05,2.96
0,1,0,0,0,26.0,Month-to-month,Electronic check,511.25,0.66
0,0,1,1,0,39.0,Month-to-month,Electronic check,3949.15,3.38
1,1,0,0,0,25.0,Month-to-month,Bank transfer (automatic),2362.1,3.15
1,0,0,0,0,1.0,Month-to-month,Mailed check,70.9,2.36
0,1,0,0,0,29.0,One year,Electronic check,1696.2,1.95
1,1,0,1,0,22.0,Month-to-month,Electronic check,1152.7,1.75
0,0,1,0,0,5.0,Month-to-month,Credit card (automatic),287.85,1.92
0,0,0,0,0,72.0,Two year,Electronic check,8496.7,3.93
0,0,0,0,0,24.0,Two year,Bank transfer (automatic),470.2,0.65
0,0,0,1,0,19.0,Month-to-month,Electronic check,1564.4,2.74
0,1,0,1,1,71.0,Two year,Credit card (automatic),1847.55,0.87
0,1,1,1,0,33.0,Month-to-month,Bank transfer (automatic),3694.7,3.73
0,0,0,0,0,3.0,Month-to-month,Mailed check,58.0,0.64
0,1,0,1,1,47.0,Month-to-month,Electronic check,4017.45,2.85
0,1,0,1,1,62.0,Two year,Mailed check,6825.65,3.67
0,1,0,0,0,71.0,One year,Bank transfer (automatic),8309.55,3.9
0,1,1,1,0,7.0,Month-to-month,Electronic check,605.45,2.88
0,0,0,1,1,27.0,Month-to-month,Mailed check,1972.35,2.44
0,1,0,0,0,2.0,Month-to-month,Mailed check,33.7,0.56
0,0,0,0,1,25.0,Two year,Bank transfer (automatic),844.45,1.13
0,1,1,0,0,30.0,Month-to-month,Electronic check,2111.3,2.35
1,0,1,1,0,58.0,One year,Credit card (automatic),6205.5,3.57
1,1,0,1,0,10.0,Month-to-month,Electronic check,855.3,2.85
0,0,0,0,0,9.0,Month-to-month,Credit card (automatic),633.85,2.35
1,0,1,1,0,6.0,Month-to-month,Electronic check,474.9,2.64
0,0,0,1,1,69.0,One year,Bank transfer (automatic),5848.6,2.83
0,0,1,0,0,66.0,Two year,Bank transfer (automatic),6471.85,3.27
1,0,0,0,0,70.0,One year,Credit card (automatic),8127.6,3.87
1,1,0,0,0,25.0,One year,Bank transfer (automatic),676.35,0.9
0,0,0,1,1,46.0,Two year,Mailed check,864.2,0.63
0,0,0,1,0,54.0,One year,Mailed check,6049.5,3.73
1,0,0,0,0,15.0,Month-to-month,Electronic check,1582.75,3.52
0,0,0,1,1,12.0,Month-to-month,Bank transfer (automatic),198.1,0.55
0,0,0,0,0,22.0,Month-to-month,Electronic check,1098.85,1.66
0,0,0,1,0,70.0,Two year,Bank transfer (automatic),4039.3,1.92
0,1,0,0,0,30.0,Month-to-month,Credit card (automatic),2438.6,2.71
0,1,0,1,1,71.0,One year,Bank transfer (automatic),7113.75,3.34
0,1,0,1,0,30.0,One year,Credit card (automatic),576.65,0.64
1,1,0,1,1,4.0,Month-to-month,Bank transfer (automatic),371.9,3.1
1,1,0,0,0,2.0,Month-to-month,Electronic check,167.3,2.79
0,1,0,0,1,10.0,One year,Bank transfer (automatic),219.5,0.73
0,1,1,0,0,4.0,Month-to-month,Electronic check,273.4,2.28
0,1,1,0,0,52.0,Month-to-month,Credit card (automatic),2555.05,1.64
1,1,0,0,0,5.0,Month-to-month,Electronic check,223.15,1.49
0,1,0,1,1,8.0,Two year,Mailed check,165.5,0.69
0,0,1,0,0,2.0,Month-to-month,Electronic check,89.3,1.49
0,1,0,0,0,3.0,Month-to-month,Electronic check,235.05,2.61
0,1,0,0,0,19.0,Month-to-month,Electronic check,1144.6,2.01
0,1,0,0,0,72.0,Two year,Bank transfer (automatic),4908.25,2.27
0,1,1,1,0,63.0,One year,Bank transfer (automatic),2298.9,1.22
0,1,0,1,0,66.0,Two year,Bank transfer (automatic),3789.2,1.91
1,1,0,0,0,1.0,Month-to-month,Electronic check,75.9,2.53
0,0,0,0,0,60.0,One year,Bank transfer (automatic),4765.0,2.65
0,0,0,1,1,48.0,One year,Credit card (automatic),2196.3,1.53
1,0,0,0,0,1.0,Month-to-month,Credit card (automatic),85.55,2.85
1,1,0,0,0,15.0,Month-to-month,Electronic check,1444.65,3.21
0,0,0,1,0,50.0,Month-to-month,Bank transfer (automatic),5405.8,3.6
0,1,0,1,1,72.0,Two year,Credit card (automatic),6339.3,2.93
0,0,0,0,0,46.0,Month-to-month,Mailed check,3847.6,2.79
0,0,0,1,1,72.0,Two year,Bank transfer (automatic),6733.0,3.12
0,1,0,1,1,1.0,Month-to-month,Mailed check,19.7,0.66
0,0,0,0,0,1.0,Month-to-month,Electronic check,50.1,1.67
0,0,1,0,0,67.0,Two year,Bank transfer (automatic),6140.85,3.06
0,0,0,1,1,48.0,Two year,Electronic check,3870.3,2.69
0,0,0,0,0,72.0,Two year,Electronic check,7624.2,3.53
0,1,0,1,0,52.0,One year,Credit card (automatic),4354.45,2.79
0,0,0,1,1,67.0,One year,Credit card (automatic),3431.75,1.71
1,0,0,1,1,28.0,Month-to-month,Electronic check,2227.1,2.65
0,0,0,1,1,32.0,Month-to-month,Bank transfer (automatic),2045.55,2.13
1,0,1,1,0,27.0,Month-to-month,Bank transfer (automatic),1929.35,2.38
0,1,0,0,0,3.0,Month-to-month,Electronic check,268.45,2.98
1,1,0,0,0,2.0,Month-to-month,Electronic check,181.5,3.02
1,0,0,0,1,9.0,Month-to-month,Mailed check,651.4,2.41
0,1,0,1,1,50.0,Two year,Credit card (automatic),3486.65,2.32
0,0,0,1,1,71.0,Two year,Bank transfer (automatic),1389.6,0.65
1,1,1,1,0,32.0,Month-to-month,Electronic check,2303.35,2.4
0,0,0,1,1,16.0,Month-to-month,Bank transfer (automatic),1522.7,3.17
0,0,0,1,1,67.0,Two year,Bank transfer (automatic),6717.9,3.34
0,1,0,1,1,72.0,Two year,Credit card (automatic),8058.55,3.73
1,0,0,0,0,3.0,Month-to-month,Electronic check,58.85,0.65
0,1,0,1,1,23.0,One year,Mailed check,538.5,0.78
0,1,0,1,1,72.0,Two year,Bank transfer (automatic),5102.35,2.36
0,1,0,1,1,7.0,Month-to-month,Mailed check,465.7,2.22
0,1,1,1,0,65.0,One year,Bank transfer (automatic),6792.45,3.48
0,1,0,1,1,8.0,Month-to-month,Electronic check,475.1,1.98
0,1,0,1,1,66.0,Two year,Bank transfer (automatic),3364.55,1.7
1,1,0,0,0,5.0,Month-to-month,Mailed check,113.85,0.76
1,1,0,0,0,49.0,Month-to-month,Bank transfer (automatic),5036.3,3.43
0,1,0,1,0,63.0,Two year,Bank transfer (automatic),1234.8,0.65
0,0,1,1,1,12.0,Month-to-month,Mailed check,355.9,0.99
0,1,0,1,1,27.0,Month-to-month,Credit card (automatic),1510.3,1.86
0,0,0,0,0,35.0,Month-to-month,Electronic check,1982.6,1.89
0,0,0,1,1,54.0,Month-to-month,Electronic check,4524.05,2.79
1,1,0,0,0,1.0,Month-to-month,Electronic check,95.45,3.18
0,1,0,0,0,5.0,Month-to-month,Credit card (automatic),318.1,2.12
0,1,0,0,0,19.0,One year,Bank transfer (automatic),1231.85,2.16
0,1,0,1,1,52.0,Two year,Mailed check,2554.0,1.64
0,0,0,1,1,72.0,Two year,Bank transfer (automatic),4684.3,2.17
0,1,0,0,0,32.0,Two year,Bank transfer (automatic),614.45,0.64
1,0,0,1,0,8.0,Month-to-month,Electronic check,842.9,3.51
0,1,0,0,0,41.0,One year,Mailed check,2531.8,2.06
0,1,0,0,0,5.0,Month-to-month,Mailed check,86.05,0.57
0,0,0,0,1,11.0,One year,Mailed check,402.6,1.22
1,1,0,0,0,5.0,Month-to-month,Electronic check,453.4,3.02
0,0,0,0,0,16.0,One year,Mailed check,326.65,0.68
0,1,1,0,0,71.0,One year,Bank transfer (automatic),7382.85,3.47
0,0,0,0,0,11.0,One year,Credit card (automatic),422.6,1.28
1,0,0,1,1,61.0,Month-to-month,Electronic check,6010.05,3.28
0,0,0,1,0,71.0,One year,Bank transfer (automatic),6046.1,2.84
0,1,0,0,0,9.0,Month-to-month,Mailed check,178.8,0.66
0,0,0,0,0,6.0,Month-to-month,Electronic check,314.6,1.75
1,0,0,0,0,26.0,Month-to-month,Bank transfer (automatic),2274.35,2.92
0,0,0,0,0,6.0,Month-to-month,Mailed check,322.9,1.79
0,1,0,0,0,11.0,Month-to-month,Electronic check,888.75,2.69
1,1,0,1,0,1.0,Month-to-month,Electronic check,80.55,2.68
0,0,0,1,0,49.0,Two year,Bank transfer (automatic),973.35,0.66
0,0,0,1,1,3.0,Month-to-month,Credit card (automatic),168.6,1.87
0,0,0,0,0,53.0,Two year,Mailed check,5424.25,3.41
1,1,0,1,1,23.0,Month-to-month,Electronic check,2331.3,3.38
1,1,0,0,0,2.0,Month-to-month,Electronic check,89.5,1.49
1,1,0,0,0,1.0,Month-to-month,Mailed check,48.55,1.62
0,1,0,0,1,3.0,Two year,Mailed check,121.25,1.35
1,0,1,1,0,68.0,Month-to-month,Electronic check,6851.65,3.36
1,1,0,0,0,8.0,Month-to-month,Electronic check,740.3,3.08
0,0,0,1,0,70.0,One year,Electronic check,6982.5,3.32
0,1,0,1,1,39.0,One year,Electronic check,3835.55,3.28
1,0,0,0,0,1.0,Month-to-month,Electronic check,70.1,2.34
0,0,0,1,1,51.0,Two year,Bank transfer (automatic),1782.0,1.16
1,0,0,0,0,3.0,Month-to-month,Electronic check,315.3,3.5
0,1,0,1,0,60.0,One year,Bank transfer (automatic),6157.6,3.42
1,0,0,1,0,5.0,Month-to-month,Electronic check,330.15,2.2
1,1,1,0,0,3.0,Month-to-month,Electronic check,233.7,2.6
0,0,0,1,0,55.0,One year,Credit card (automatic),3462.1,2.1
0,1,0,0,0,72.0,Two year,Credit card (automatic),4390.25,2.03
0,1,1,1,0,72.0,Two year,Bank transfer (automatic),5360.75,2.48
1,0,0,0,0,41.0,Month-to-month,Electronic check,4443.45,3.61
0,1,0,0,0,60.0,Two year,Bank transfer (automatic),2424.5,1.35
1,0,0,0,0,6.0,Month-to-month,Electronic check,577.6,3.21
0,0,0,1,0,46.0,Two year,Credit card (automatic),4854.3,3.52
0,0,0,0,0,15.0,Month-to-month,Mailed check,320.45,0.71
1,0,0,1,0,58.0,Month-to-month,Credit card (automatic),5885.4,3.38
0,1,0,1,1,23.0,Two year,Credit card (automatic),426.65,0.62
1,0,1,1,1,31.0,Month-to-month,Electronic check,2911.3,3.13
0,1,0,1,0,11.0,Month-to-month,Bank transfer (automatic),521.9,1.58
0,0,1,0,0,56.0,Two year,Bank transfer (automatic),5706.3,3.4
0,0,0,0,1,25.0,Month-to-month,Credit card (automatic),471.7,0.63
0,0,0,0,0,68.0,Two year,Credit card (automatic),4539.6,2.23
0,0,0,0,0,40.0,Two year,Credit card (automatic),830.25,0.69
1,1,0,0,0,36.0,Month-to-month,Electronic check,3067.2,2.84
1,1,0,0,0,32.0,Month-to-month,Credit card (automatic),3432.9,3.58
0,1,0,1,1,71.0,Two year,Bank transfer (automatic),6263.8,2.94
0,1,0,1,0,17.0,Month-to-month,Electronic check,1742.5,3.42
0,1,0,1,0,18.0,Month-to-month,Electronic check,1468.75,2.72
0,0,0,0,0,37.0,Month-to-month,Bank transfer (automatic),3382.3,3.05
0,1,0,0,0,2.0,Month-to-month,Mailed check,46.35,0.77
0,0,0,1,1,28.0,One year,Bank transfer (automatic),1992.2,2.37
0,1,0,0,0,9.0,One year,Mailed check,373.0,1.38
0,0,0,0,0,1.0,Month-to-month,Electronic check,50.15,1.67
0,1,0,1,0,65.0,Two year,Credit card (automatic),1414.45,0.73
0,0,0,0,0,3.0,Month-to-month,Electronic check,122.7,1.36
1,0,0,0,0,1.0,Month-to-month,Electronic check,34.7,1.16
0,1,0,1,0,36.0,Month-to-month,Electronic check,3366.05,3.12
1,1,0,0,0,23.0,Month-to-month,Electronic check,1943.2,2.82
0,1,0,1,1,22.0,Month-to-month,Mailed check,1271.8,1.93
0,0,0,1,0,72.0,Two year,Credit card (automatic),7965.95,3.69
1,0,0,1,1,17.0,Month-to-month,Electronic check,1460.65,2.86
1,0,0,0,0,3.0,Month-to-month,Electronic check,272.2,3.02
1,1,0,1,0,58.0,One year,Credit card (automatic),3563.8,2.05
0,1,0,1,1,67.0,Two year,Credit card (automatic),5398.6,2.69
0,1,1,0,0,34.0,One year,Electronic check,3343.15,3.28
0,1,0,0,0,10.0,Month-to-month,Credit card (automatic),198.7,0.66
0,0,0,0,0,69.0,Two year,Credit card (automatic),5897.4,2.85
0,1,0,0,0,40.0,One year,Credit card (automatic),2511.55,2.09
0,1,0,0,0,20.0,Month-to-month,Credit card (automatic),1398.6,2.33
0,0,0,1,1,46.0,Two year,Mailed check,967.85,0.7
1,0,0,1,0,2.0,Month-to-month,Electronic check,139.4,2.32
1,0,1,1,0,1.0,Month-to-month,Mailed check,70.45,2.35
0,0,0,1,0,72.0,Two year,Credit card (automatic),7589.8,3.51
0,1,0,1,1,70.0,Two year,Credit card (automatic),1790.15,0.85
0,0,0,0,0,2.0,Month-to-month,Mailed check,44.4,0.74
0,1,0,0,1,23.0,Month-to-month,Bank transfer (automatic),1284.2,1.86
0,1,0,1,0,36.0,Month-to-month,Electronic check,3474.2,3.22
1,1,1,1,0,59.0,Month-to-month,Bank transfer (automatic),5574.75,3.15
0,1,0,0,0,67.0,Two year,Bank transfer (automatic),1430.95,0.71
0,1,0,1,1,72.0,Two year,Bank transfer (automatic),7542.25,3.49
1,0,0,0,0,37.0,Month-to-month,Bank transfer (automatic),3545.35,3.19
0,0,0,1,1,72.0,Two year,Bank transfer (automatic),1709.1,0.79
0,1,0,1,0,72.0,Two year,Credit card (automatic),1421.9,0.66
1,1,0,0,0,3.0,Month-to-month,Electronic check,229.55,2.55
1,0,1,1,0,54.0,One year,Credit card (automatic),5373.1,3.32
1,1,0,1,0,60.0,Month-to-month,Electronic check,5742.9,3.19
0,0,0,1,0,58.0,One year,Credit card (automatic),6526.65,3.75
0,0,0,1,0,31.0,Month-to-month,Bank transfer (automatic),2674.15,2.88
0,0,0,0,0,3.0,Month-to-month,Electronic check,170.5,1.89
0,1,0,0,0,55.0,Two year,Electronic check,3175.85,1.92
1,0,0,0,0,1.0,Month-to-month,Mailed check,44.4,1.48
0,1,0,1,0,49.0,Month-to-month,Credit card (automatic),4297.95,2.92
1,1,0,0,1,8.0,Month-to-month,Mailed check,215.2,0.9
0,0,1,0,0,39.0,Month-to-month,Electronic check,4036.0,3.45
0,1,0,1,0,66.0,Two year,Credit card (automatic),4428.45,2.24
0,0,0,1,1,15.0,One year,Mailed check,295.95,0.66
0,0,0,1,0,51.0,One year,Electronic check,4947.55,3.23
0,1,1,0,0,9.0,Month-to-month,Mailed check,447.9,1.66
1,0,0,0,0,1.0,Month-to-month,Mailed check,20.9,0.7
0,1,0,0,0,25.0,One year,Bank transfer (automatic),516.3,0.69
0,1,0,1,0,22.0,Month-to-month,Bank transfer (automatic),1850.65,2.8
0,1,0,0,0,15.0,Month-to-month,Electronic check,749.25,1.66
1,0,0,1,1,28.0,One year,Bank transfer (automatic),2598.95,3.09
0,1,0,0,0,3.0,Month-to-month,Mailed check,237.65,2.64
0,0,0,1,0,47.0,Month-to-month,Electronic check,4707.1,3.34
0,0,0,0,0,67.0,Two year,Mailed check,5714.2,2.84
0,0,1,0,0,18.0,Month-to-month,Electronic check,1294.6,2.4
0,1,0,1,0,62.0,Two year,Credit card (automatic),3753.2,2.02
0,0,0,0,0,41.0,One year,Electronic check,3263.9,2.65
0,0,0,0,0,44.0,Month-to-month,Mailed check,2139.1,1.62
0,0,0,0,0,53.0,One year,Credit card (automatic),5042.75,3.17
0,1,0,1,0,48.0,Two year,Mailed check,1036.0,0.72
0,0,1,1,0,54.0,One year,Bank transfer (automatic),6431.05,3.97
1,0,0,1,0,48.0,Month-to-month,Bank transfer (automatic),2145.0,1.49
0,1,0,0,0,24.0,Month-to-month,Bank transfer (automatic),2404.85,3.34
0,1,1,1,0,27.0,Month-to-month,Electronic check,2510.2,3.1
0,1,0,0,0,33.0,Two year,Bank transfer (automatic),2651.1,2.68
0,1,0,1,0,66.0,Two year,Electronic check,5538.35,2.8
0,0,0,1,1,3.0,Month-to-month,Electronic check,200.2,2.22
0,0,0,0,0,13.0,Two year,Mailed check,450.4,1.15
0,1,0,1,1,63.0,Two year,Credit card (automatic),5435.0,2.88
1,0,0,1,1,23.0,Month-to-month,Electronic check,1900.25,2.75
0,1,0,0,1,52.0,Two year,Credit card (automatic),1334.5,0.86
0,1,0,0,0,3.0,Month-to-month,Credit card (automatic),67.1,0.75
0,1,0,0,0,10.0,Month-to-month,Bank transfer (automatic),503.25,1.68
0,0,0,1,1,72.0,Two year,Bank transfer (automatic),1460.85,0.68
0,1,0,0,0,29.0,Month-to-month,Credit card (automatic),2807.1,3.23
0,0,1,1,0,62.0,One year,Electronic check,6312.9,3.39
1,1,0,1,0,41.0,One year,Electronic check,3001.2,2.44
1,1,0,0,0,43.0,Month-to-month,Electronic check,3365.85,2.61
0,0,0,0,1,26.0,Two year,Electronic check,2715.3,3.48
0,0,0,1,0,19.0,Month-to-month,Electronic check,1743.05,3.06
0,0,0,1,1,72.0,Two year,Credit card (automatic),1784.5,0.83
0,0,1,0,0,45.0,One year,Bank transfer (automatic),4735.35,3.51
0,1,0,0,0,32.0,One year,Bank transfer (automatic),2010.95,2.09
0,1,0,0,0,41.0,Month-to-month,Bank transfer (automatic),996.45,0.81
0,1,0,1,1,65.0,Two year,Credit card (automatic),1715.1,0.88
1,1,0,1,0,55.0,Month-to-month,Electronic check,5238.9,3.18
0,1,0,1,1,11.0,Two year,Mailed check,225.75,0.68
0,0,0,0,0,49.0,Two year,Bank transfer (automatic),3721.9,2.53
0,1,0,1,0,61.0,Month-to-month,Bank transfer (automatic),5943.65,3.25
0,1,0,1,1,25.0,Month-to-month,Mailed check,477.6,0.64
1,0,0,0,0,1.0,Month-to-month,Electronic check,69.5,2.32
0,0,0,0,1,23.0,One year,Electronic check,1119.35,1.62
0,1,0,0,0,21.0,Month-to-month,Electronic check,1558.7,2.47
1,0,0,0,0,1.0,Month-to-month,Electronic check,79.7,2.66
1,1,1,1,0,5.0,Month-to-month,Bank transfer (automatic),343.95,2.29
0,1,0,1,0,24.0,One year,Bank transfer (automatic),1712.9,2.38
1,0,1,0,0,27.0,Month-to-month,Credit card (automatic),2467.75,3.05
0,0,0,1,0,70.0,Two year,Bank transfer (automatic),1397.65,0.67
1,0,1,0,0,5.0,Month-to-month,Credit card (automatic),349.65,2.33
0,1,0,1,1,46.0,Two year,Mailed check,917.45,0.66
0,0,0,1,1,2.0,Month-to-month,Electronic check,135.75,2.26
0,0,0,1,1,57.0,Two year,Bank transfer (automatic),1087.7,0.64
0,0,0,0,0,9.0,Month-to-month,Electronic check,651.5,2.41
1,0,0,0,0,1.0,Month-to-month,Mailed check,71.1,2.37
0,0,1,1,0,60.0,One year,Credit card (automatic),6029.0,3.35
0,1,0,1,1,37.0,Two year,Credit card (automatic),2278.75,2.05
1,1,0,0,1,1.0,Month-to-month,Mailed check,70.45,2.35
0,1,0,1,1,28.0,One year,Bank transfer (automatic),2799.0,3.33
0,0,1,0,0,24.0,Month-to-month,Mailed check,459.95,0.64
0,0,0,0,0,62.0,One year,Electronic check,5755.8,3.09
1,0,0,0,1,18.0,One year,Bank transfer (automatic),390.85,0.72
1,0,0,0,0,5.0,Month-to-month,Electronic check,308.25,2.06
0,0,0,1,1,20.0,Month-to-month,Mailed check,442.6,0.74
1,0,0,0,0,1.0,Month-to-month,Mailed check,70.75,2.36
1,1,0,0,0,35.0,One year,Bank transfer (automatic),3626.1,3.45
0,0,1,0,0,52.0,Month-to-month,Electronic check,2566.3,1.65
1,0,0,1,0,30.0,Month-to-month,Electronic check,2624.25,2.92
0,1,0,1,0,72.0,Two year,Bank transfer (automatic),2962.0,1.37
1,1,1,0,0,15.0,Month-to-month,Electronic check,1146.65,2.55
0,0,1,1,0,1.0,Month-to-month,Electronic check,24.8,0.83
0,1,0,0,1,70.0,Two year,Electronic check,7882.5,3.75
0,1,0,0,1,66.0,Two year,Bank transfer (automatic),4378.9,2.21
0,1,1,1,0,55.0,Month-to-month,Electronic check,4052.4,2.46
1,0,1,1,0,55.0,Month-to-month,Electronic check,4874.7,2.95
0,1,1,1,0,57.0,One year,Credit card (automatic),4140.1,2.42
0,0,0,0,0,6.0,Month-to-month,Bank transfer (automatic),536.4,2.98
0,0,0,1,0,72.0,Two year,Electronic check,8165.1,3.78
0,0,0,1,0,28.0,Month-to-month,Mailed check,563.05,0.67
0,1,0,1,0,54.0,Two year,Bank transfer (automatic),4191.45,2.59
0,1,1,1,1,24.0,Month-to-month,Electronic check,1857.75,2.58
0,0,0,1,0,2.0,Month-to-month,Mailed check,113.1,1.88
0,0,0,1,1,14.0,Month-to-month,Mailed check,372.45,0.89
0,1,0,0,1,12.0,Month-to-month,Credit card (automatic),235.8,0.66
0,1,0,0,0,48.0,One year,Credit card (automatic),5082.8,3.53
0,1,1,0,0,51.0,One year,Bank transfer (automatic),3974.7,2.6
